fid,DN,Area-km2
685,766,1.723532299
686,247,2.595999076
687,279,2.978098336
688,1048,4.975575822
689,1013,0.302888795
690,1030,0.605755934
691,1178,3.244980634
692,764,3.064671906
693,291,1.608180004
694,169,8.876439122
695,296,1.61520731
696,734,5.061810769
697,280,2.02636172
698,275,5.076269437
699,296,0.007212122
700,1037,9.740730481
701,295,2.920277746
702,276,2.74017768
703,172,0.468776754
704,783,3.439787387
705,940,0.007212387
706,272,1.262078585
707,245,6.937055052
708,277,2.170796053
709,1059,5.177967684
710,1029,3.353473317
711,784,2.4878912
712,1060,0.007212586
713,1172,0.007212586
714,1173,3.807610409
715,1174,0.598601168
716,1014,1.983310234
717,1179,0.108187524
718,1172,0.007212652
719,593,1.737917508
720,167,0.310134415
721,298,1.182797162
722,165,0.007212785
723,594,3.750107918
724,1007,1.23327033
725,1068,0.007212851
726,650,5.998802955
727,158,2.935182016
728,1079,5.098879858
729,1069,1.276557236
730,297,6.51188463
731,939,0.346214181
732,1180,1.392017649
733,324,9.216256467
734,248,7.045766881
735,649,6.381034199
736,1070,2.98585752
737,1060,4.175798343
738,943,10.55026959
739,1081,0.007213183
740,1070,0.007213183
741,652,8.739305041
742,1067,0.771783613
743,1070,0.007213249
744,1031,3.151869496
745,1072,0.007213316
746,772,9.864742265
747,946,3.909027346
748,785,1.471401473
749,786,0.807848295
750,165,1.024278493
751,1080,9.888484107
752,168,1.832100818
753,787,0.187553403
754,292,4.435784464
755,786,0.00721378
756,1074,0.00721378
757,1077,1.442619388
758,1081,0.389528765
759,352,1.118000731
760,1082,0.245259298
761,1071,1.197411869
762,786,0.007213846
763,1074,0.007213846
764,1008,5.200167332
765,321,3.736077782
766,771,10.21860033
767,1078,0.843992896
768,780,7.068404637
769,166,1.348913095
770,591,0.735754773
771,1032,6.873938783
772,788,0.230843655
773,1075,0.32461682
774,589,0.028855651
775,170,6.138029327
776,1170,0.007213979
777,352,0.007213979
778,779,10.6597182
779,934,0.274121919
780,1084,0.165919167
781,1086,0.086567061
782,1089,0.007214045
783,1182,5.914063644
784,592,0.93777071
785,299,0.10820966
786,936,0.007214112
787,1090,0.007214112
788,302,0.007214112
789,302,0.007214112
790,322,4.313245526
791,1171,1.796042357
792,157,3.714567641
793,944,12.03102176
794,940,3.339773884
795,933,0.093782059
796,1068,1.889946043
797,1089,0.04328467
798,933,0.007214178
799,1090,0.007214178
800,1182,0.007214178
801,768,10.99968382
802,1172,2.748317122
803,351,8.705523071
804,767,0.007214244
805,1090,0.007214244
806,288,4.25591838
807,293,2.957417098
808,1098,0.007214377
809,1087,3.484267113
810,1099,0.165926076
811,1104,0.007214443
812,1103,0.007214443
813,1101,4.155149317
814,1181,3.757773544
815,1104,0.00721451
816,1103,0.00721451
817,1100,0.00721451
818,1155,0.014429152
819,1100,0.007214576
820,278,6.311486668
821,947,13.05276883
822,300,0.620429521
823,1095,0.541084404
824,284,5.027514831
825,1100,0.028858466
826,1093,0.014429284
827,1170,1.096585366
828,285,7.898181125
829,1091,0.274147623
830,294,2.553572211
831,1102,0.18036389
832,1158,0.007214708
833,790,1.096566496
834,1096,0.187580167
835,1158,0.007214775
836,1094,0.050503081
837,1072,1.731405843
838,304,0.007214841
839,283,8.568955023
840,301,6.225762592
841,1169,0.815254494
842,1110,4.623951607
843,303,0.108222972
844,304,0.007214974
845,304,0.007214974
846,307,3.715483848
847,286,3.606983684
848,816,0.00721504
849,1201,0.00721504
850,304,0.00721504
851,1115,5.598229997
852,789,2.99389651
853,1109,17.37700031
854,1201,0.007215106
855,163,10.68328047
856,1116,1.79644359
857,305,0.880207263
858,1116,0.007215173
859,1112,0.007215173
860,1201,0.014430345
861,767,9.586349551
862,1076,1.204834124
863,164,4.025769399
864,1156,0.670986652
865,311,1.089438689
866,1113,0.036076218
867,583,0.007215305
868,1208,0.007215305
869,162,0.007215305
870,1107,0.173165666
871,313,0.072153383
872,1114,0.072153184
873,1111,0.46177
874,1202,0.259750333
875,1105,2.691106441
876,575,0.050507943
877,994,0.007215438
878,1114,0.007215438
879,584,0.007215438
880,314,0.007215438
881,577,3.614299697
882,578,0.281395695
883,1208,0.028861751
884,994,0.007215504
885,1106,0.007215504
886,1154,0.007215504
887,575,0.014431008
888,576,0.007215504
889,573,0.007215504
890,1206,0.007215504
891,1117,2.994261144
892,583,0.115447292
893,1204,0.036077321
894,1112,0.173170402
895,571,0.00721557
896,1208,0.00721557
897,589,1.43578222
898,958,5.186599252
899,287,9.450976201
900,302,2.58293589
901,576,0.202034884
902,584,0.057724555
903,1207,0.310255902
904,994,0.007215637
905,582,0.007215637
906,581,0.007215637
907,791,0.735906158
908,797,7.229137408
909,585,0.021647
910,994,0.036078225
911,1184,0.007215703
912,588,0.007215703
913,586,0.007215703
914,579,7.560370954
915,574,0.043293819
916,571,0.043294217
917,1210,7.725197048
918,588,0.007215769
919,586,0.007215769
920,792,1.471838492
921,957,10.27204591
922,996,0.021647416
923,1184,0.014431605
924,582,0.043294657
925,832,0.007215835
926,580,0.007215835
927,590,3.369390352
928,308,2.590288897
929,161,1.103959999
930,572,0.093804661
931,1108,1.630576666
932,948,15.00305094
933,801,3.174439559
934,1118,2.280134268
935,1002,2.236651498
936,320,2.359273235
937,1199,0.028863739
938,580,0.685471054
939,319,4.862862529
940,306,1.883233412
941,798,0.97410452
942,1209,7.884871573
943,938,2.770656097
944,799,11.77420504
945,800,1.226674168
946,1001,3.239487244
947,996,0.072160697
948,800,0.007216167
949,804,0.014432334
950,998,0.007216167
951,318,1.233888921
952,998,4.769127224
953,998,0.007216233
954,1106,3.629472303
955,317,3.290283691
